content_id,creator,product,content_type,total_gmv,sale_event_count,first_seen_date,last_seen_date,traffic_types,video_link
7635465832193183006,thehuntervance,hgr,video,1319.49,5,2026-05-08,2026-05-11,organic; shop_ads,https://www.tiktok.com/@thehuntervance/video/7635465832193183006
7635481561395105055,kokep_7,hgr,video,841.9200000000001,9,2026-05-02,2026-05-11,organic; shop_ads,https://www.tiktok.com/@kokep_7/video/7635481561395105055
7638123063879552286,jrzjales,hgr,video,314.57,3,2026-05-10,2026-05-11,organic; shop_ads,https://www.tiktok.com/@jrzjales/video/7638123063879552286
7635838416797601037,trevor.top.picks,hgr,video,226.44,2,2026-05-10,2026-05-11,organic; shop_ads,https://www.tiktok.com/@trevor.top.picks/video/7635838416797601037
7636967707325386015,iamvictoriadoss,hgr,video,222.93,3,2026-05-07,2026-05-10,organic,https://www.tiktok.com/@iamvictoriadoss/video/7636967707325386015
7636981078313520398,everyonesuddenlyvoice,hgr,video,161.18,1,2026-05-09,2026-05-09,organic,https://www.tiktok.com/@everyonesuddenlyvoice/video/7636981078313520398
7635811080672906526,ayejerr_,hgr,video,159.4,5,2026-05-03,2026-05-06,organic; shop_ads,https://www.tiktok.com/@ayejerr_/video/7635811080672906526
7635728444143258911,antoninalgriffin,hgr,video,102.56,3,2026-05-06,2026-05-08,organic,https://www.tiktok.com/@antoninalgriffin/video/7635728444143258911
7636839397572349198,iamhae,hgr,video,101.21,3,2026-05-07,2026-05-10,organic,https://www.tiktok.com/@iamhae/video/7636839397572349198
7635806092223663391,jrzjales,hgr,video,97.16,2,2026-05-07,2026-05-08,organic; shop_ads,https://www.tiktok.com/@jrzjales/video/7635806092223663391
7636947437554371854,bischjj,hgr,video,80.97,3,2026-05-07,2026-05-11,organic; shop_ads,https://www.tiktok.com/@bischjj/video/7636947437554371854
7635400254866640141,hooperfindz,hgr,video,78.46,1,2026-05-02,2026-05-02,organic,https://www.tiktok.com/@hooperfindz/video/7635400254866640141
7636579034670877982,thehuntervance,hgr,video,78.27,1,2026-05-09,2026-05-09,shop_ads,https://www.tiktok.com/@thehuntervance/video/7636579034670877982
7635405189083712782,discountdealt,hgr,video,75.57,2,2026-05-07,2026-05-10,organic,https://www.tiktok.com/@discountdealt/video/7635405189083712782
7634853875807194382,branttakes,hgr,video,75.57,3,2026-05-01,2026-05-03,organic,https://www.tiktok.com/@branttakes/video/7634853875807194382
7636609772980161806,jrzjales,hgr,video,73.14,2,2026-05-09,2026-05-10,organic; shop_ads,https://www.tiktok.com/@jrzjales/video/7636609772980161806
7635202516405292302,i.find.you.shop,hgr,video,72.87,2,2026-05-02,2026-05-03,shop_ads,https://www.tiktok.com/@i.find.you.shop/video/7635202516405292302
7636715407969144094,realhassansunni,hgr,video,53.98,1,2026-05-11,2026-05-11,organic,https://www.tiktok.com/@realhassansunni/video/7636715407969144094
7635586896793488654,lets.bloom.togeth,hgr,video,53.98,1,2026-05-09,2026-05-09,organic,https://www.tiktok.com/@lets.bloom.togeth/video/7635586896793488654
7635696682763619598,trevor.top.picks,hgr,video,53.98,1,2026-05-04,2026-05-04,organic,https://www.tiktok.com/@trevor.top.picks/video/7635696682763619598
7636998666582068511,thehuntervance,hgr,video,53.98,2,2026-05-10,2026-05-11,organic,https://www.tiktok.com/@thehuntervance/video/7636998666582068511
7636946476215700750,bischjj,hgr,video,53.98,2,2026-05-09,2026-05-09,organic; shop_ads,https://www.tiktok.com/@bischjj/video/7636946476215700750
7637610047085776158,iamvictoriadoss,hgr,video,52.63,1,2026-05-09,2026-05-09,organic,https://www.tiktok.com/@iamvictoriadoss/video/7637610047085776158
7637311406739705102,bischjj,hgr,video,52.629999999999995,2,2026-05-08,2026-05-10,shop_ads,https://www.tiktok.com/@bischjj/video/7637311406739705102
7637506147053833485,thomas.ruster,hgr,video,51.28,2,2026-05-08,2026-05-09,organic; shop_ads,https://www.tiktok.com/@thomas.ruster/video/7637506147053833485
7637015590380604685,gabetypeshi,hgr,video,48.58,1,2026-05-07,2026-05-07,shop_ads,https://www.tiktok.com/@gabetypeshi/video/7637015590380604685
7636881445025320223,billllyh,hgr,video,48.58,1,2026-05-11,2026-05-11,organic,https://www.tiktok.com/@billllyh/video/7636881445025320223
7637318616328752415,panterita1680,hgr,video,48.58,1,2026-05-09,2026-05-09,organic,https://www.tiktok.com/@panterita1680/video/7637318616328752415
7635750589506293022,jessica.santalucia,hgr,video,48.58,1,2026-05-11,2026-05-11,shop_ads,https://www.tiktok.com/@jessica.santalucia/video/7635750589506293022
7637643261791751437,tyshopdeals,hgr,video,48.58,1,2026-05-08,2026-05-08,organic,https://www.tiktok.com/@tyshopdeals/video/7637643261791751437
7636381847903063327,bearthevoice3,hgr,video,48.58,1,2026-05-06,2026-05-06,organic,https://www.tiktok.com/@bearthevoice3/video/7636381847903063327
7635174368133352717,leesorganiclife,hgr,video,46.58,1,2026-05-08,2026-05-08,organic,https://www.tiktok.com/@leesorganiclife/video/7635174368133352717
7634978098466901278,jrzjales,hgr,video,46.58,1,2026-05-03,2026-05-03,organic,https://www.tiktok.com/@jrzjales/video/7634978098466901278
7634981909017169182,jrzjales,hgr,video,46.58,1,2026-05-10,2026-05-10,organic,https://www.tiktok.com/@jrzjales/video/7634981909017169182
7636850749636414734,demarkreactz,hgr,video,46.58,1,2026-05-07,2026-05-07,organic,https://www.tiktok.com/@demarkreactz/video/7636850749636414734
7637977487036681485,ttshopfrozone,hgr,video,46.28,1,2026-05-11,2026-05-11,organic,https://www.tiktok.com/@ttshopfrozone/video/7637977487036681485
7635089289692400909,dealswithbenda,hgr,video,46.15,1,2026-05-10,2026-05-10,organic,https://www.tiktok.com/@dealswithbenda/video/7635089289692400909
7634830805818232094,drizzle.deals,hgr,video,43.72,1,2026-05-01,2026-05-01,organic,https://www.tiktok.com/@drizzle.deals/video/7634830805818232094
7635200286189047071,fabian.shop.test,hgr,video,43.72,1,2026-05-03,2026-05-03,organic,https://www.tiktok.com/@fabian.shop.test/video/7635200286189047071
7636918498672774413,serenadavis,hgr,video,26.99,1,2026-05-09,2026-05-09,organic,https://www.tiktok.com/@serenadavis/video/7636918498672774413
7637245988645686559,tony.laws,hgr,video,26.99,1,2026-05-08,2026-05-08,organic,https://www.tiktok.com/@tony.laws/video/7637245988645686559
7637707232154504462,jrzjales,hgr,video,26.99,1,2026-05-09,2026-05-09,organic,https://www.tiktok.com/@jrzjales/video/7637707232154504462
7637677312552586527,mrivanalv,hgr,video,26.99,1,2026-05-08,2026-05-08,organic,https://www.tiktok.com/@mrivanalv/video/7637677312552586527
7637583447774465311,amandadodson896,hgr,video,26.99,1,2026-05-09,2026-05-09,shop_ads,https://www.tiktok.com/@amandadodson896/video/7637583447774465311
7637515577099062558,iamvictoriadoss,hgr,video,26.99,1,2026-05-10,2026-05-10,organic,https://www.tiktok.com/@iamvictoriadoss/video/7637515577099062558
7635094790631116045,himarlyn_lifestyles,hgr,video,26.99,1,2026-05-08,2026-05-08,shop_ads,https://www.tiktok.com/@himarlyn_lifestyles/video/7635094790631116045
7635457401382014222,whosurge,hgr,video,26.99,1,2026-05-07,2026-05-07,organic,https://www.tiktok.com/@whosurge/video/7635457401382014222
7637205709276368158,the_deal_bender,hgr,video,26.99,1,2026-05-10,2026-05-10,organic,https://www.tiktok.com/@the_deal_bender/video/7637205709276368158
7636551549212314894,demarkreactz,hgr,video,26.99,1,2026-05-10,2026-05-10,organic,https://www.tiktok.com/@demarkreactz/video/7636551549212314894
7637015072950324511,ericswanso,hgr,video,26.99,1,2026-05-09,2026-05-09,organic,https://www.tiktok.com/@ericswanso/video/7637015072950324511
7636573989304798495,sammantha644,hgr,video,26.99,1,2026-05-11,2026-05-11,shop_ads,https://www.tiktok.com/@sammantha644/video/7636573989304798495
7636613823331306782,alex_6995,hgr,video,26.99,1,2026-05-10,2026-05-10,organic,https://www.tiktok.com/@alex_6995/video/7636613823331306782
7636527294818946318,serenadavis,hgr,video,25.64,1,2026-05-11,2026-05-11,organic,https://www.tiktok.com/@serenadavis/video/7636527294818946318
7635139537508896013,thomas.ruster,hgr,video,25.64,1,2026-05-08,2026-05-08,organic,https://www.tiktok.com/@thomas.ruster/video/7635139537508896013
7636582286552616223,thehuntervance,hgr,video,25.64,1,2026-05-11,2026-05-11,organic,https://www.tiktok.com/@thehuntervance/video/7636582286552616223
7637887793057893663,danielreynoldsx,hgr,video,25.64,1,2026-05-09,2026-05-09,organic,https://www.tiktok.com/@danielreynoldsx/video/7637887793057893663
7636152863554669838,bischjj,hgr,video,25.64,1,2026-05-08,2026-05-08,shop_ads,https://www.tiktok.com/@bischjj/video/7636152863554669838
7635081349203791118,whosurge,hgr,video,24.29,1,2026-05-01,2026-05-01,organic,https://www.tiktok.com/@whosurge/video/7635081349203791118
7635521219403500814,iamvictoriadoss,hgr,video,24.29,1,2026-05-03,2026-05-03,organic,https://www.tiktok.com/@iamvictoriadoss/video/7635521219403500814
